[2009/05/11 07:30:00] 0
[2009/05/11 07:31:00] 1
[2009/05/11 07:32:00] 3
[2009/05/11 07:33:00] 5
[2009/05/11 07:34:00] 7
[2009/05/11 07:35:00] 9
[2009/05/11 07:36:00] 11
[2009/05/11 07:37:00] 13
[2009/05/11 07:38:00] 15
[2009/05/11 07:39:00] 17
[2009/05/11 07:40:00] 19
[2009/05/11 07:41:00] 21
[2009/05/11 07:42:00] 23
[2009/05/11 07:43:00] 25
[2009/05/11 07:44:00] 27
[2009/05/11 07:45:00] 29
[2009/05/11 07:46:00] 31
[2009/05/11 07:47:00] 33
[2009/05/11 07:48:00] 35
[2009/05/11 07:49:00] 37
[2009/05/11 07:50:00] 38
[2009/05/11 07:51:00] 40
[2009/05/11 07:52:00] 42
[2009/05/11 07:53:00] 44
[2009/05/11 07:54:00] 46
[2009/05/11 07:55:00] 47
[2009/05/11 07:56:00] 49
[2009/05/11 07:57:00] 51
[2009/05/11 07:58:00] 53
[2009/05/11 07:59:00] 54
[2009/05/11 08:00:00] 56
[2009/05/11 08:01:00] 58
[2009/05/11 08:02:00] 59
[2009/05/11 08:03:00] 61
[2009/05/11 08:04:00] 62
[2009/05/11 08:05:00] 64
[2009/05/11 08:06:00] 65
[2009/05/11 08:07:00] 67
[2009/05/11 08:08:00] 68
[2009/05/11 08:09:00] 70
[2009/05/11 08:10:00] 71
[2009/05/11 08:11:00] 73
[2009/05/11 08:12:00] 74
[2009/05/11 08:13:00] 75
[2009/05/11 08:14:00] 77
[2009/05/11 08:15:00] 78
[2009/05/11 08:16:00] 79
[2009/05/11 08:17:00] 80
[2009/05/11 08:18:00] 81
[2009/05/11 08:19:00] 83
[2009/05/11 08:20:00] 84
[2009/05/11 08:21:00] 85
[2009/05/11 08:22:00] 86
[2009/05/11 08:23:00] 87
[2009/05/11 08:24:00] 88
[2009/05/11 08:25:00] 89
[2009/05/11 08:26:00] 90
[2009/05/11 08:27:00] 90
[2009/05/11 08:28:00] 91
[2009/05/11 08:29:00] 92
[2009/05/11 08:30:00] 93
[2009/05/11 08:31:00] 93
[2009/05/11 08:32:00] 94
[2009/05/11 08:33:00] 95
[2009/05/11 08:34:00] 95
[2009/05/11 08:35:00] 96
[2009/05/11 08:36:00] 96
[2009/05/11 08:37:00] 97
